中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,78 ms,296 Mbps,37888 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,379 Mbps,48537 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,25 ms,52 Mbps,6690 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,18 ms,654 Mbps,83763 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,22 ms,678 Mbps,86835 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,33 ms,1080 Mbps,138240 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,33 ms,1080 Mbps,138240 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,1136 Mbps,145408 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,41 ms,912 Mbps,116736 kB/s
192.9.158.188,443,2a09:bac5:6443:1232::1d0:59,US,San Jose,隧道,34 ms,205 Mbps,26316 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,30 ms,251 Mbps,32153 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,35 ms,1072 Mbps,137216 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,521 Mbps,66764 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,136 ms,64 Mbps,8272 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,110 ms,104 Mbps,13414 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,59 ms,368 Mbps,47206 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,40 ms,552 Mbps,70758 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,197 Mbps,25292 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,70 ms,392 Mbps,50278 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,138 ms,132 Mbps,16998 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,127 Mbps,16281 kB/s
152.70.183.28,443,98.98.166.190,AE,Frankfurt,隧道,145 ms,108 Mbps,13926 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,115 ms,348 Mbps,44544 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,63 ms,120 Mbps,15462 kB/s
146.56.41.148,443,146.56.41.148,KR,Seoul,中转,134 ms,46 Mbps,5935 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,140 ms,133 Mbps,17100 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,133 ms,46 Mbps,6007 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,186 ms,8 Mbps,1058 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,145 ms,137 Mbps,17612 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,135 ms,1 Mbps,192 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,141 ms,7 Mbps,958 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,110 ms,14 Mbps,1884 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,130 Mbps,16691 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,144 ms,100 Mbps,12800 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,149 ms,120 Mbps,15462 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,169 ms,42 Mbps,5445 kB/s
47.242.153.89,443,47.242.153.89,HK,Hong Kong,中转,157 ms,7 Mbps,1018 kB/s
152.67.44.30,443,152.67.44.30,BR,S
