中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,22 ms,888 Mbps,113664 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,8 ms,65 Mbps,8322 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,1 ms,75 Mbps,9659 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,451 Mbps,57753 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,74 ms,356 Mbps,45670 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,77 ms,258 Mbps,33075 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,264 Mbps,33792 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,45 Mbps,5838 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,111 ms,364 Mbps,46592 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,252 Mbps,32256 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,97 ms,324 Mbps,41574 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,50 ms,664 Mbps,85094 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,107 ms,41 Mbps,5265 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,83 ms,309 Mbps,39628 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,280 Mbps,35942 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,98 ms,44 Mbps,5750 kB/s
168.138.149.17,443,168.138.149.17,BR,S
