中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,656 Mbps,84070 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,73 ms,382 Mbps,48947 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,78 ms,370 Mbps,47411 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,7 Mbps,946 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,6 ms,17 Mbps,2254 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,95 ms,48 Mbps,6236 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,6 ms,9 Mbps,1189 kB/s
129.146.46.164,443,129.146.46.164,US,288 Mbps,36966 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,12 ms,104 Mbps,13312 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,20 ms,664 Mbps,84992 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,92 ms,282 Mbps,36147 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,79 ms,413 Mbps,52940 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,473 Mbps,60620 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,298 Mbps,38195 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,109 ms,45 Mbps,5879 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,87 ms,47 Mbps,6127 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,103 ms,45 Mbps,5830 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,86 ms,280 Mbps,35942 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,108 ms,41 Mbps,5265 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,30 ms,60 Mbps,7743 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,193 Mbps,24780 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,102 ms,44 Mbps,5660 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,210 Mbps,26931 kB/s
141.148.239.240,443,98.98.166.170,US,Frankfurt,隧道,102 ms,131 Mbps,16793 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,70 ms,366 Mbps,46899 kB/s
129.153.116.130,443,129.153.116.130,US,Los Angeles,中转,61 ms,50 Mbps,6483 kB/s
144.24.53.45,443,144.24.53.45,US,Los Angeles,中转,80 ms,46 Mbps,5903 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,220 Mbps,28160 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,83 ms,283 Mbps,36249 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,109 Mbps,14028 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,191 ms,140 Mbps,18022 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,98 ms,436 Mbps,55910 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,101 ms,49 Mbps,6382 kB/s
141.148.245.88,443,2a0b:21c0:100a:1b1:0:91a4:1d7:6688,DE,Frankfurt,隧道,96 ms,130 Mbps,16691 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,128 ms,202 Mbps,25907 kB/s
132.226.212.22,443,2a0b:21c0:100a:1b7:0:5b55:2340:5ee7,DE,Frankfurt,隧道,123 ms,118 Mbps,15155 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,209 ms,90 Mbps,11571 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,218 ms,0 Mbps,37 kB/s
132.145.124.173,443,132.145.124.173,JP,Tokyo,中转,222 ms,37 Mbps,4784 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,224 ms,61 Mbps,7849 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,12 ms,74 Mbps,9559 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,240 ms,32 Mbps,4141 kB/s
144.22.252.124,443,144.22.252.124,BR,S
