中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,24 ms,354 Mbps,45363 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,312 Mbps,39936 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,615 Mbps,78745 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,74 ms,104 Mbps,13312 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,228 Mbps,29286 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,109 ms,316 Mbps,40550 kB/s
132.226.31.178,443,2a09:bac1:76a0:e18::26a:e,US,Los Angeles,隧道,72 ms,44 Mbps,5700 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,229 Mbps,29388 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,74 ms,38 Mbps,4872 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,84 ms,19 Mbps,2497 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,78 ms,290 Mbps,37171 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,94 ms,45 Mbps,5775 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,240 Mbps,30822 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,27 ms,499 Mbps,63897 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,73 ms,338 Mbps,43315 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,71 ms,260 Mbps,33280 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,62 ms,1264 Mbps,161792 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,344 Mbps,44134 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,74 ms,272 Mbps,34918 kB/s
141.147.68.26,443,2a0b:21c0:1007:c7:0:925d:c3c3:848b,DE,Frankfurt,隧道,90 ms,128 Mbps,16384 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,224 Mbps,28672 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,69 ms,291 Mbps,37273 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,65 ms,302 Mbps,38707 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,80 ms,46 Mbps,5950 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,64 ms,336 Mbps,43110 kB/s
138.2.159.210,443,98.98.156.6,DE,Frankfurt,隧道,214 ms,127 Mbps,16281 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,65 ms,354 Mbps,45363 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,304 Mbps,38912 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,84 ms,252 Mbps,32256 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,114 ms,72 Mbps,9264 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,76 ms,332 Mbps,42598 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,197 Mbps,25292 kB/s
132.226.133.240,443,2606:f240:f00:eaf1:0:57d1:115:91d,US,Frankfurt,隧道,89 ms,137 Mbps,17612 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,81 ms,268 Mbps,34304 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,88 ms,136 Mbps,17408 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,115 Mbps,14745 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,66 ms,40 Mbps,5213 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,147 ms,197 Mbps,25292 kB/s
192.9.158.188,443,104.28.201.73,US,San Jose,隧道,160 ms,190 Mbps,24371 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,79 ms,24 Mbps,3174 kB/s
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,191 ms,76 Mbps,9775 kB/s
144.22.252.124,443,144.22.252.124,BR,S
