中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,1056 Mbps,135168 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,416 Mbps,53350 kB/s
129.146.7.98,443,2a09:bac5:60ee:1846::26b:7c,US,Los Angeles,隧道,51 ms,81 Mbps,10444 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,140 ms,41 Mbps,5287 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,170 Mbps,21811 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,109 ms,175 Mbps,22425 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,58 ms,752 Mbps,96358 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,50 ms,350 Mbps,44851 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,49 ms,453 Mbps,58060 kB/s
192.9.138.241,443,192.9.138.241,,San Jose,中转,0 ms,428 Mbps,54784 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,508 Mbps,65024 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,388 Mbps,49664 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,38 Mbps,4880 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,61 ms,463 Mbps,59289 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,60 ms,440 Mbps,56422 kB/s
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,37 ms,37 Mbps,4750 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,101 ms,46 Mbps,6007 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,461 Mbps,59084 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,18 ms,141 Mbps,18124 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,128 Mbps,16486 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,24 ms,64 Mbps,8199 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,156 Mbps,19968 kB/s
47.253.100.59,443,47.253.100.59,US,Ashburn,中转,31 ms,341 Mbps,43724 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,58 ms,479 Mbps,61337 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,180 Mbps,23142 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,226 ms,8 Mbps,1121 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,67 ms,258 Mbps,33075 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,57 ms,46 Mbps,5897 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::4:278,US,San Jose,隧道,125 ms,198 Mbps,25395 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,237 ms,34 Mbps,4392 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,114 ms,175 Mbps,22425 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,170 Mbps,21811 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,138 Mbps,17715 kB/s
193.123.186.132,443,163.123.193.8,DE,Frankfurt,隧道,111 ms,195 Mbps,24985 kB/s
143.47.188.53,443,2a0b:21c0:100a:1b3:0:da1f:ad9d:4daf,DE,Frankfurt,隧道,112 ms,192 Mbps,24576 kB/s
144.24.180.180,443,2a0b:21c0:1007:1ca:0:8525:fc13:3dff,DE,Frankfurt,隧道,113 ms,183 Mbps,23449 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,194 Mbps,24883 kB/s
141.148.234.216,443,2a0b:21c0:100a:1b0:0:6272:95ec:333d,DE,Frankfurt,隧道,115 ms,186 Mbps,23859 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,47 Mbps,6098 kB/s
144.24.178.230,443,98.98.166.202,US,Frankfurt,隧道,119 ms,178 Mbps,22835 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,109 ms,44 Mbps,5686 kB/s
152.70.54.89,443,2606:f240:f00:5a42:0:7314:2338:5e0,US,Frankfurt,隧道,133 ms,177 Mbps,22732 kB/s
141.147.29.24,443,2a0b:21c0:1007:c8:0:a708:b48:adb4,DE,Frankfurt,隧道,121 ms,172 Mbps,22118 kB/s
