中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.185.117,US,Seattle,隧道,24 ms,200 Mbps,25702 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,13 ms,793 Mbps,101580 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,26 ms,880 Mbps,112640 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,59 ms,326 Mbps,41779 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,304 Mbps,38912 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:4,US,Los Angeles,隧道,32 ms,58 Mbps,7446 kB/s
35.230.79.26,443,35.212.185.117,US,Seattle,隧道,34 ms,880 Mbps,112640 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,18 ms,76 Mbps,9822 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,6 ms,674 Mbps,86323 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,24 ms,968 Mbps,123904 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,12 ms,1176 Mbps,150528 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,2 ms,100 Mbps,12800 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,621 Mbps,79564 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,217 Mbps,27852 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,64 ms,354 Mbps,45363 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,73 ms,47 Mbps,6087 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,140 ms,126 Mbps,16179 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,149 ms,39 Mbps,5097 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,165 ms,118 Mbps,15155 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,79 ms,454 Mbps,58163 kB/s
