中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,39 ms,513 Mbps,65740 kB/s
35.230.79.26,443,34.168.81.122,US,Seattle,隧道,90 ms,284 Mbps,36352 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,308 Mbps,39424 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,45 ms,7 Mbps,977 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,222 Mbps,28467 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,88 ms,228 Mbps,29286 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,53 ms,702 Mbps,89907 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,30 ms,563 Mbps,72089 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,124 ms,49 Mbps,6394 kB/s
35.197.23.75,443,34.168.81.122,US,Seattle,隧道,69 ms,333 Mbps,42700 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,183 Mbps,23449 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,63 ms,313 Mbps,40140 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,52 ms,238 Mbps,30515 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,71 ms,297 Mbps,38092 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,58 ms,77 Mbps,9959 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,,colo.txt:San Jose,隧道,0 ms,300 Mbps,38502 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,89 ms,201 Mbps,25804 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,55 ms,53 Mbps,6827 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,75 ms,290 Mbps,37171 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,346 Mbps,44339 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,93 ms,416 Mbps,53350 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,68 ms,48 Mbps,6183 kB/s
84.235.173.139,443,163.123.193.10,DE,Frankfurt,隧道,89 ms,226 Mbps,28979 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,61 ms,304 Mbps,38912 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,80 ms,229 Mbps,29388 kB/s
152.70.119.237,443,2a09:bac1:76a0:1cf0::1d2:12,US,San Jose,隧道,85 ms,38 Mbps,4938 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,74 ms,43 Mbps,5627 kB/s
129.153.126.67,443,2a09:bac5:60eb:183c::26a:a9,US,Los Angeles,隧道,67 ms,44 Mbps,5701 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,89 ms,48 Mbps,6259 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,8 Mbps,1069 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,80 ms,47 Mbps,6100 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,85 ms,228 Mbps,29286 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,87 ms,36 Mbps,4632 kB/s
144.21.35.5,443,2a0b:21c0:100a:1b2:0:10a:3e32:d171,DE,Frankfurt,隧道,246 ms,140 Mbps,17920 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,128 ms,362 Mbps,46387 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,82 ms,313 Mbps,40140 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,240 Mbps,30822 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,91 ms,44 Mbps,5650 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,69 ms,313 Mbps,40140 kB/s
132.226.31.178,443,2a09:bac5:60eb:183c::26a:a2,US,Los Angeles,隧道,61 ms,47 Mbps,6063 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,84 ms,240 Mbps,30822 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,100 Mbps,12902 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,197 ms,44 Mbps,5719 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,197 ms,84 Mbps,10752 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,183 ms,76 Mbps,9769 kB/s
204.216.218.114,443,204.216.218.114,IT,Zurich,中转,106 ms,43 Mbps,5587 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,182 ms,78 Mbps,10035 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,144 ms,39 Mbps,5007 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,229 ms,75 Mbps,9638 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,216 ms,57 Mbps,7322 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,183 ms,96 Mbps,12288 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,294 ms,37 Mbps,4856 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,212 ms,71 Mbps,9186 kB/s
