中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,265 Mbps,33996 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,42 ms,536 Mbps,68608 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,70 ms,344 Mbps,44134 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,162 Mbps,20787 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,47 ms,618 Mbps,79155 kB/s
35.230.79.26,443,35.212.201.120,US,Seattle,隧道,79 ms,369 Mbps,47308 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,94 ms,40 Mbps,5232 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,63 ms,66 Mbps,8516 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,13 ms,23 Mbps,3063 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,224 Mbps,28774 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,37 ms,435 Mbps,55705 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,83 ms,248 Mbps,31846 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,114 ms,236 Mbps,30208 kB/s
152.70.61.199,443,2606:f240:f00:46c4:0:5016:a068:62ab,US,Frankfurt,隧道,103 ms,256 Mbps,32768 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,73 ms,292 Mbps,37376 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,218 Mbps,27955 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,101 ms,40 Mbps,5122 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,10 ms,69 Mbps,8933 kB/s
152.70.175.161,443,163.123.193.6,DE,Frankfurt,隧道,108 ms,254 Mbps,32563 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,78 ms,399 Mbps,51097 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,100 ms,404 Mbps,51814 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,74 ms,113 Mbps,14540 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,27 ms,75 Mbps,9721 kB/s
35.197.23.75,443,35.212.201.120,US,Seattle,隧道,85 ms,373 Mbps,47820 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,284 Mbps,36352 kB/s
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,91 ms,304 Mbps,38912 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,107 ms,48 Mbps,6205 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,97 ms,49 Mbps,6286 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,76 ms,340 Mbps,43520 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,94 ms,228 Mbps,29286 kB/s
