中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,518 Mbps,66355 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,637 Mbps,81612 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,276 Mbps,35328 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,65 ms,30 Mbps,3888 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,18 ms,336 Mbps,43110 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,248 Mbps,31846 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,60 ms,332 Mbps,42496 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,18 ms,766 Mbps,98099 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,66 ms,319 Mbps,40857 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,63 ms,19 Mbps,2540 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,304 Mbps,38912 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,209 Mbps,26828 kB/s
141.147.4.99,443,2a0b:21c0:100a:1fa:0:9d58:7966:ca66,DE,Frankfurt,隧道,90 ms,118 Mbps,15155 kB/s
192.9.138.241,443,192.9.138.241,296 Mbps,37888 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,203 Mbps,26009 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,63 ms,1 Mbps,180 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,63 ms,360 Mbps,46182 kB/s
144.22.252.124,443,144.22.252.124,BR,S
