中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.144.191.4,443,3.144.191.4,US,Chicago,中转,20 ms,563 Mbps,72089 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,22 ms,437 Mbps,56012 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,81 ms,374 Mbps,47923 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,38 ms,66 Mbps,8459 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,76 ms,324 Mbps,41574 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,27 ms,69 Mbps,8847 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,77 ms,224 Mbps,28774 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,106 ms,228 Mbps,29184 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,75 ms,467 Mbps,59801 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,86 ms,332 Mbps,42496 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,106 ms,286 Mbps,36659 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,107 ms,37 Mbps,4747 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,57 ms,300 Mbps,38400 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,103 ms,203 Mbps,26009 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,65 ms,312 Mbps,40038 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,126 Mbps,16179 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,166 Mbps,21299 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,21 ms,20 Mbps,2600 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,92 ms,280 Mbps,35840 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,78 ms,272 Mbps,34918 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,98 ms,2 Mbps,298 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,100 ms,165 Mbps,21196 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,199 Mbps,25497 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,111 ms,196 Mbps,25190 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,66 Mbps,8477 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,99 ms,48 Mbps,6269 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,100 ms,52 Mbps,6761 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,98 ms,135 Mbps,17305 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,18 ms,4 Mbps,590 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,188 ms,89 Mbps,11468 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,223 ms,101 Mbps,13004 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,144 ms,256 Mbps,32768 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,93 ms,28 Mbps,3666 kB/s
158.101.207.200,443,2606:f240:f00:dd8d:0:d1a3:238d:bc28,US,Frankfurt,隧道,108 ms,225 Mbps,28876 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,144 Mbps,18534 kB/s
144.24.186.83,443,2a0b:21c0:1007:1ca:0:49f7:2329:caea,DE,Frankfurt,隧道,104 ms,242 Mbps,31027 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,117 ms,20 Mbps,2652 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,218 ms,0 Mbps,65 kB/s
144.22.252.124,443,144.22.252.124,BR,S
