中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.138.241,443,192.9.138.241,US,San Jose,中转,21 ms,968 Mbps,123904 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,59 ms,864 Mbps,110592 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,371 Mbps,47513 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,37 ms,545 Mbps,69836 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,164 Mbps,20992 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,1128 Mbps,144384 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,63 ms,648 Mbps,82944 kB/s
129.146.7.98,443,2a09:bac5:60e9:1846::26b:8a,,Los Angeles,隧道,0 ms,66 Mbps,8452 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,29 ms,78 Mbps,9997 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,24 ms,824 Mbps,105472 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,57 ms,396 Mbps,50688 kB/s
47.88.93.96,443,47.251.149.50,US,San Jose,隧道,18 ms,4 Mbps,627 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,105 ms,686 Mbps,87859 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,100 ms,154 Mbps,19763 kB/s
35.230.79.26,443,34.127.85.35,US,Seattle,隧道,36 ms,552 Mbps,70758 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,48 ms,992 Mbps,126976 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,39 ms,384 Mbps,49152 kB/s
138.2.234.77,443,138.2.234.77,US,San Jose,中转,225 ms,77 Mbps,9896 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,104 ms,543 Mbps,69529 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,69 ms,50 Mbps,6459 kB/s
35.197.23.75,443,34.127.85.35,US,Seattle,隧道,48 ms,548 Mbps,70144 kB/s
47.90.228.243,443,47.90.228.243,US,Ashburn,中转,78 ms,37 Mbps,4837 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,78 ms,347 Mbps,44441 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,62 ms,46 Mbps,5946 kB/s
47.254.42.167,443,47.251.149.55,US,San Jose,隧道,47 ms,3 Mbps,484 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,136 ms,40 Mbps,5122 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,142 ms,108 Mbps,13926 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,34 Mbps,4388 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,20 ms,445 Mbps,57036 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,131 Mbps,16793 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,136 ms,134 Mbps,17203 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,135 ms,136 Mbps,17510 kB/s
158.180.79.198,443,158.180.79.198,KR,Seoul,中转,135 ms,135 Mbps,17305 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,138 ms,92 Mbps,11878 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,143 ms,128 Mbps,16384 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,57 ms,372 Mbps,47718 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,98 ms,322 Mbps,41267 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,109 ms,33 Mbps,4331 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,145 ms,122 Mbps,15667 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,134 ms,128 Mbps,16384 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,64 ms,169 Mbps,21708 kB/s
47.242.83.97,443,47.242.83.97,HK,Hong Kong,中转,154 ms,26 Mbps,3390 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,142 ms,120 Mbps,15360 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,73 ms,25 Mbps,3284 kB/s
130.61.170.78,443,130.61.170.78,DE,Amsterdam,中转,142 ms,59 Mbps,7674 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,136 ms,31 Mbps,4095 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,148 ms,145 Mbps,18636 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,169 ms,110 Mbps,14131 kB/s
47.89.182.61,443,47.251.149.53,US,San Jose,隧道,76 ms,2 Mbps,322 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,136 ms,137 Mbps,17612 kB/s
152.69.162.101,443,152.69.162.101,AU,Sydney,中转,157 ms,111 Mbps,14233 kB/s
140.238.23.148,443,2a09:bac1:3f20:90::299:40,KR,Seoul,隧道,140 ms,30 Mbps,3944 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,142 ms,125 Mbps,16076 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,140 ms,106 Mbps,13619 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,135 ms,134 Mbps,17203 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,169 ms,88 Mbps,11264 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,136 ms,143 Mbps,18329 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,150 ms,37 Mbps,4800 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,206 ms,140 Mbps,18022 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,335 ms,1 Mbps,171 kB/s
132.226.169.32,443,2602:ffe4:407:21d9:0:e3ec:cac9:b330,SG,Singapore,隧道,198 ms,84 Mbps,10752 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,137 ms,41 Mbps,5297 kB/s
152.70.88.98,443,2a09:bac5:4752:155::22:115,KR,Seoul,隧道,140 ms,7 Mbps,1009 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,134 ms,37 Mbps,4862 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,150 ms,66 Mbps,8479 kB/s
47.253.104.12,443,47.251.149.49,US,San Jose,隧道,72 ms,2 Mbps,368 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,155 ms,12 Mbps,1630 kB/s
130.162.173.10,443,163.123.193.6,DE,Paris,隧道,148 ms,121 Mbps,15564 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,144 ms,94 Mbps,12083 kB/s
141.148.239.84,443,98.98.166.202,AE,Frankfurt,隧道,188 ms,114 Mbps,14643 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,143 ms,58 Mbps,7486 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,179 ms,3 Mbps,387 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,167 ms,92 Mbps,11878 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,161 ms,39 Mbps,5062 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,156 ms,99 Mbps,12697 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,155 ms,0 Mbps,84 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,135 ms,14 Mbps,1906 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,174 ms,36 Mbps,4636 kB/s
132.226.196.197,443,163.123.193.10,DE,Frankfurt,隧道,143 ms,116 Mbps,14950 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,141 ms,92 Mbps,11878 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,228 ms,36 Mbps,4626 kB/s
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,181 ms,28 Mbps,3649 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,287 ms,108 Mbps,13926 kB/s
8.211.197.133,443,47.251.149.48,US,San Jose,隧道,131 ms,2 Mbps,333 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,216 ms,5 Mbps,666 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,19 ms,26 Mbps,3355 kB/s
141.147.91.215,443,2a0b:21c0:1007:1c7:0:f91a:f779:47b9,DE,Frankfurt,隧道,149 ms,118 Mbps,15155 kB/s
138.2.84.189,443,104.28.222.43,SG,Singapore,隧道,184 ms,93 Mbps,11980 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,220 ms,101 Mbps,13004 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,252 ms,2 Mbps,374 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,155 ms,0 Mbps,25 kB/s
47.90.167.197,443,47.90.167.197,US,Ashburn,中转,1101 ms,37 Mbps,4829 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,166 ms,0 Mbps,45 kB/s
