中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,47 Mbps,6114 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,513 Mbps,65740 kB/s
150.136.241.40,443,150.136.241.40,US,912 Mbps,116736 kB/s
198.46.188.190,443,2a09:bac1:76c0:118::c7:9,US,Buffalo,隧道,17 ms,89 Mbps,11468 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,72 ms,321 Mbps,41164 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,86 ms,254 Mbps,32563 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,462 Mbps,59187 kB/s
35.197.23.75,443,34.168.136.56,US,Seattle,隧道,75 ms,293 Mbps,37580 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,85 ms,247 Mbps,31641 kB/s
35.230.79.26,443,34.168.136.56,US,Seattle,隧道,73 ms,299 Mbps,38297 kB/s
193.122.197.111,443,193.122.197.111,US,268 Mbps,34304 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,72 ms,271 Mbps,34713 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,20 ms,89 Mbps,11468 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,78 ms,122 Mbps,15667 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,73 ms,17 Mbps,2214 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,20 ms,556 Mbps,71168 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,35 ms,77 Mbps,9955 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::c:311,US,Los Angeles,隧道,64 ms,76 Mbps,9773 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,36 ms,7 Mbps,971 kB/s
152.67.254.70,443,152.67.254.70,US,San Jose,中转,98 ms,46 Mbps,5958 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,140 Mbps,17920 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,84 ms,252 Mbps,32256 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,73 ms,259 Mbps,33177 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,71 ms,324 Mbps,41472 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,104 ms,317 Mbps,40652 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,73 ms,363 Mbps,46489 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,67 ms,341 Mbps,43724 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,88 ms,230 Mbps,29491 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,296 Mbps,37888 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,64 ms,48 Mbps,6250 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,116 ms,234 Mbps,30003 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,182 Mbps,23347 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,20 Mbps,2671 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,93 ms,39 Mbps,5043 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,115 ms,264 Mbps,33894 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,208 Mbps,26726 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,286 ms,39 Mbps,5041 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,100 Mbps,12800 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,236 Mbps,30208 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,75 ms,304 Mbps,38912 kB/s
144.22.252.124,443,144.22.252.124,BR,S
