中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,12 ms,143 Mbps,18329 kB/s
35.230.79.26,443,35.212.209.68,US,Seattle,隧道,48 ms,611 Mbps,78233 kB/s
129.146.7.98,443,2a09:bac5:60eb:183c::26a:22,US,Los Angeles,隧道,12 ms,68 Mbps,8750 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,38 ms,210 Mbps,26931 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,500 Mbps,64000 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,24 ms,775 Mbps,99225 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,23 ms,55 Mbps,7144 kB/s
35.197.23.75,443,35.212.209.68,US,Seattle,隧道,38 ms,496 Mbps,63590 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,59 ms,46 Mbps,5962 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,195 Mbps,24985 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,63 ms,367 Mbps,47001 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,59 ms,48 Mbps,6155 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,63 ms,335 Mbps,42905 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,321 Mbps,41164 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,115 ms,40 Mbps,5158 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,112 ms,2 Mbps,343 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,115 ms,49 Mbps,6311 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,151 ms,48 Mbps,6262 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,144 Mbps,18432 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,124 ms,32 Mbps,4184 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,180 Mbps,23142 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,154 ms,137 Mbps,17612 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,134 Mbps,17203 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,120 ms,45 Mbps,5802 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,135 ms,137 Mbps,17612 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,172 ms,190 Mbps,24371 kB/s
143.47.176.251,443,2a0b:21c0:100a:1b4:0:b6bc:f741:1fa7,DE,Frankfurt,隧道,152 ms,72 Mbps,9301 kB/s
130.162.144.191,443,2a09:bac1:3f60::20b:78,KR,Seoul,隧道,143 ms,41 Mbps,5312 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,157 ms,46 Mbps,5942 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,155 ms,5 Mbps,662 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,175 ms,42 Mbps,5429 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,165 ms,43 Mbps,5605 kB/s
158.101.201.244,443,2a0b:21c0:1007:1ca:0:5426:bc95:ce55,DE,Frankfurt,隧道,165 ms,133 Mbps,17100 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,193 ms,3 Mbps,388 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,164 ms,41 Mbps,5347 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,37 Mbps,4796 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,159 ms,40 Mbps,5133 kB/s
129.154.214.199,443,2607:a400:a:6c:0:9726:e22e:8c0b,US,Los Angeles,隧道,200 ms,86 Mbps,11059 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,133 ms,1 Mbps,158 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,162 ms,1 Mbps,186 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,155 ms,42 Mbps,5421 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,180 ms,3 Mbps,431 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,263 ms,47 Mbps,6120 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,235 ms,24 Mbps,3176 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,249 ms,20 Mbps,2685 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,407 ms,0 Mbps,8 kB/s
