中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,484 Mbps,61952 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,252 Mbps,32256 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,73 ms,343 Mbps,43929 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,9 ms,43 Mbps,5558 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,77 ms,256 Mbps,32870 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,8 ms,888 Mbps,113664 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,273 Mbps,35020 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,308 Mbps,39424 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,42 Mbps,5403 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,74 ms,374 Mbps,47923 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,80 ms,212 Mbps,27136 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,442 Mbps,56627 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,101 ms,251 Mbps,32153 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,13 ms,10 Mbps,1398 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,112 ms,265 Mbps,33996 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Dallas,隧道,69 ms,44 Mbps,5692 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,101 ms,51 Mbps,6612 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,104 ms,250 Mbps,32051 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,110 ms,47 Mbps,6131 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,84 ms,324 Mbps,41574 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,246 Mbps,31539 kB/s
193.123.38.223,443,98.98.166.174,US,Frankfurt,隧道,99 ms,253 Mbps,32460 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,94 ms,320 Mbps,41062 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,82 ms,45 Mbps,5887 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,40 Mbps,5247 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,94 ms,26 Mbps,3448 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,107 ms,45 Mbps,5852 kB/s
168.138.149.17,443,168.138.149.17,BR,S
