中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,85 ms,232 Mbps,29798 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,70 ms,273 Mbps,35020 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:d5,US,Los Angeles,隧道,65 ms,69 Mbps,8891 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,204 Mbps,26214 kB/s
129.146.46.164,443,129.146.46.164,259 Mbps,33177 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,85 ms,33 Mbps,4250 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,93 ms,332 Mbps,42496 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,65 ms,357 Mbps,45772 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,22 ms,706 Mbps,90419 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,352 Mbps,45158 kB/s
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,76 ms,333 Mbps,42700 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,22 ms,86 Mbps,11059 kB/s
35.197.23.75,443,35.212.231.200,US,Seattle,隧道,72 ms,294 Mbps,37683 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,408 Mbps,52326 kB/s
152.67.156.141,443,2a0b:21c0:1007:c8:0:acb3:101b:e52,DE,Frankfurt,隧道,92 ms,147 Mbps,18841 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,67 ms,300 Mbps,38400 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,90 ms,45 Mbps,5872 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,40 ms,60 Mbps,7696 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,61 ms,331 Mbps,42393 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,140 Mbps,17920 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,227 Mbps,29081 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,105 ms,46 Mbps,5939 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,240 Mbps,30822 kB/s
158.101.203.1,443,2a0b:21c0:1007:1c7:0:dd9e:1c98:ad9b,DE,Frankfurt,隧道,97 ms,250 Mbps,32051 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,310 Mbps,39731 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,95 Mbps,12185 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,68 ms,1 Mbps,224 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,87 ms,200 Mbps,25600 kB/s
141.147.106.160,443,163.123.193.8,DE,Frankfurt,隧道,90 ms,207 Mbps,26521 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,246 Mbps,31539 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,221 Mbps,28364 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,73 ms,303 Mbps,38809 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,97 ms,276 Mbps,35430 kB/s
144.21.43.21,443,2a0b:21c0:1007:c9:0:4b9d:953a:f9ba,DE,Frankfurt,隧道,90 ms,148 Mbps,18944 kB/s
35.230.79.26,443,35.212.231.200,US,Seattle,隧道,74 ms,298 Mbps,38195 kB/s
