中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,106 ms,183 Mbps,23449 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,776 Mbps,99328 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,100 ms,427 Mbps,54681 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,436 Mbps,55808 kB/s
198.46.188.190,443,2a09:bac5:a5fb:7cd::c7:c,US,Buffalo,隧道,56 ms,81 Mbps,10444 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,315 Mbps,40345 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,23 ms,700 Mbps,89702 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,20 ms,28 Mbps,3610 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,75 ms,392 Mbps,50278 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,19 ms,676 Mbps,86630 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,53 ms,414 Mbps,53043 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,25 ms,92 Mbps,11878 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,342 Mbps,43827 kB/s
35.197.23.75,443,34.83.26.184,US,Seattle,隧道,54 ms,414 Mbps,53043 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,50 ms,419 Mbps,53657 kB/s
35.230.79.26,443,34.83.26.184,US,Seattle,隧道,50 ms,419 Mbps,53657 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,172 ms,46 Mbps,5975 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,53 ms,368 Mbps,47104 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,190 Mbps,24371 kB/s
141.148.243.80,443,2a0b:21c0:100a:1f9:0:3a36:3636:78db,DE,Frankfurt,隧道,108 ms,101 Mbps,13004 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,40 Mbps,5230 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,76 ms,351 Mbps,44953 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,413 Mbps,52940 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,52 ms,42 Mbps,5451 kB/s
34.82.76.253,443,34.168.30.215,US,Seattle,隧道,48 ms,480 Mbps,61542 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,76 ms,461 Mbps,59084 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,59 ms,80 Mbps,10240 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,210 ms,20 Mbps,2670 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,103 ms,119 Mbps,15257 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,106 Mbps,13619 kB/s
130.162.176.223,443,2a0b:21c0:100a:1b4:0:f346:9b47:a87c,DE,Frankfurt,隧道,108 ms,111 Mbps,14233 kB/s
35.198.83.144,443,98.98.166.170,AE,Frankfurt,隧道,104 ms,191 Mbps,24473 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,106 ms,171 Mbps,21913 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,188 Mbps,24064 kB/s
