中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.152.202,US,Seattle,隧道,30 ms,524 Mbps,67072 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,11 ms,686 Mbps,87859 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::1bd:f8,US,Los Angeles,隧道,28 ms,77 Mbps,9932 kB/s
35.230.79.26,443,35.212.152.202,US,Seattle,隧道,27 ms,808 Mbps,103424 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,15 ms,727 Mbps,93081 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,35 ms,370 Mbps,47411 kB/s
152.67.224.129,443,2603:c024:c00f:85cc:4ca5:34f9:bd04:1bcb,US,San Jose,隧道,2 ms,1952 Mbps,249856 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,10 ms,1992 Mbps,254976 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,63 ms,406 Mbps,52019 kB/s
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,29 ms,788 Mbps,100864 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,74 ms,348 Mbps,44544 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,22 ms,904 Mbps,115712 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,30 ms,643 Mbps,82329 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,76 ms,389 Mbps,49868 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,80 Mbps,10240 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,31 ms,43 Mbps,5622 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,115 ms,189 Mbps,24268 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,94 ms,44 Mbps,5690 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,23 ms,612 Mbps,78438 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,165 ms,112 Mbps,14336 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,137 ms,47 Mbps,6016 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,170 ms,123 Mbps,15769 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,147 ms,125 Mbps,16076 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,157 ms,141 Mbps,18124 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,95 ms,7 Mbps,898 kB/s
152.70.58.239,443,2a0b:21c0:100a:1b5:0:16d0:9b01:9b98,DE,Frankfurt,隧道,173 ms,122 Mbps,15667 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,166 ms,111 Mbps,14233 kB/s
132.226.214.36,443,98.98.166.190,US,Frankfurt,隧道,163 ms,118 Mbps,15155 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,125 Mbps,16076 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,178 ms,45 Mbps,5828 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,143 ms,37 Mbps,4745 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,189 ms,3 Mbps,466 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,131 Mbps,16793 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,75 ms,45 Mbps,5840 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,173 ms,37 Mbps,4863 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,174 ms,124 Mbps,15872 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,160 Mbps,20582 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,76 ms,38 Mbps,4931 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,149 ms,47 Mbps,6049 kB/s
152.70.214.15,443,2603:c021:c000:ba8c:5a47:c0e5:b682:31cb,BR,São Paulo,隧道,209 ms,84 Mbps,10752 kB/s
130.162.144.191,443,2a09:bac1:3f40:90::20b:94,KR,Seoul,隧道,169 ms,41 Mbps,5351 kB/s
8.219.104.81,443,8.219.142.198,SG,Singapore,隧道,185 ms,100 Mbps,12800 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,136 ms,7 Mbps,914 kB/s
8.222.202.184,443,47.236.51.143,SG,Singapore,隧道,199 ms,67 Mbps,8702 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,161 ms,34 Mbps,4454 kB/s
8.219.213.30,443,8.219.142.198,SG,Singapore,隧道,222 ms,37 Mbps,4863 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,149 ms,137 Mbps,17612 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,178 ms,38 Mbps,4965 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,176 ms,102 Mbps,13107 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,218 ms,76 Mbps,9844 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,152 ms,43 Mbps,5595 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,144 ms,118 Mbps,15155 kB/s
152.70.171.247,443,2606:f240:f00:83a7:0:5169:953c:5ced,US,Frankfurt,隧道,204 ms,104 Mbps,13312 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,146 ms,133 Mbps,17100 kB/s
132.226.209.169,443,2606:f240:f00:46c4:0:f6a5:f79f:7070,US,Frankfurt,隧道,164 ms,63 Mbps,8137 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,165 ms,37 Mbps,4848 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,83 ms,46 Mbps,5925 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,159 ms,37 Mbps,4821 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,208 ms,64 Mbps,8211 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,186 ms,0 Mbps,13 kB/s
8.219.134.144,443,8.222.210.246,SG,Singapore,隧道,175 ms,84 Mbps,10752 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,202 ms,96 Mbps,12390 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,189 ms,140 Mbps,17920 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,173 ms,133 Mbps,17100 kB/s
149.129.8.215,443,47.88.8.186,2 Mbps,313 kB/s
141.147.113.218,443,2606:f240:f00:5a42:0:a366:2ee8:3475,US,Frankfurt,隧道,161 ms,84 Mbps,10752 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,178 ms,110 Mbps,14131 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,161 ms,90 Mbps,11571 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,160 ms,39 Mbps,5002 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,183 ms,45 Mbps,5878 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,232 ms,40 Mbps,5207 kB/s
8.222.78.174,443,8.211.134.64,JP,Tokyo,隧道,114 ms,43 Mbps,5578 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,181 ms,113 Mbps,14540 kB/s
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,206 ms,30 Mbps,3858 kB/s
141.148.241.129,443,2a0b:21c0:1007:1c7:0:360f:2765:afa7,DE,Frankfurt,隧道,159 ms,114 Mbps,14643 kB/s
8.219.236.180,443,47.236.58.234,SG,Singapore,隧道,204 ms,38 Mbps,4973 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,141 ms,139 Mbps,17817 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,160 ms,17 Mbps,2267 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,185 ms,37 Mbps,4792 kB/s
8.218.135.92,443,8.218.135.92,HK,Hong Kong,中转,253 ms,13 Mbps,1784 kB/s
141.144.207.120,443,2a0b:21c0:1007:1ca:0:cce9:d348:eb9b,DE,Frankfurt,隧道,169 ms,102 Mbps,13107 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,191 ms,76 Mbps,9769 kB/s
8.212.48.236,443,47.76.21.95,HK,Hong Kong,隧道,241 ms,56 Mbps,7280 kB/s
47.57.245.232,443,47.88.7.145,US,San Jose,隧道,278 ms,2 Mbps,330 kB/s
194.36.24.34,443,194.36.24.34,US,San Jose,中转,91 ms,1384 Mbps,177152 kB/s
47.90.141.204,443,91.149.239.62,US,Los Angeles,隧道,89 ms,28 Mbps,3616 kB/s
