中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac1:76a0:e18::c:311,US,Los Angeles,隧道,17 ms,52 Mbps,6709 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,408 Mbps,52224 kB/s
35.197.23.75,443,34.19.58.219,US,Seattle,隧道,27 ms,904 Mbps,115712 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,33 ms,1720 Mbps,220160 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,27 ms,754 Mbps,96563 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,48 ms,58 Mbps,7473 kB/s
35.230.79.26,443,34.19.58.219,US,Seattle,隧道,66 ms,848 Mbps,108544 kB/s
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,17 ms,376 Mbps,48128 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,16 ms,1120 Mbps,143360 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,30 ms,341 Mbps,43724 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,132 ms,53 Mbps,6795 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,38 ms,816 Mbps,104448 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,8 ms,1912 Mbps,244736 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,115 ms,15 Mbps,2015 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,35 ms,920 Mbps,117760 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,129 ms,67 Mbps,8618 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,90 ms,382 Mbps,48947 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,3 ms,49 Mbps,6354 kB/s
152.70.112.158,443,152.70.112.158,US,San Jose,中转,68 ms,72 Mbps,9217 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,36 ms,646 Mbps,82739 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,146 ms,19 Mbps,2551 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,171 ms,25 Mbps,3252 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,160 ms,348 Mbps,44646 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,66 ms,628 Mbps,80486 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,153 ms,103 Mbps,13209 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,58 ms,352 Mbps,45158 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,18 ms,648 Mbps,82944 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,141 Mbps,18124 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,153 ms,36 Mbps,4676 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,161 ms,107 Mbps,13721 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,156 ms,101 Mbps,13004 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,122 ms,336 Mbps,43110 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,96 Mbps,12288 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,169 ms,102 Mbps,13107 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,178 ms,46 Mbps,6004 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,169 ms,61 Mbps,7815 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,104 Mbps,13312 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,26 Mbps,3455 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,78 ms,45 Mbps,5765 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,168 ms,86 Mbps,11059 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,79 ms,0 Mbps,95 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,74 ms,48 Mbps,6218 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,123 Mbps,15769 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,187 ms,41 Mbps,5359 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,402 kB/s
