中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
143.47.189.109,443,2a0b:21c0:1007:1ca:0:dfb0:e5cc:7bc1,DE,Frankfurt,隧道,169 ms,123 Mbps,15769 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,201 ms,97 Mbps,12492 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,148 ms,22 Mbps,2875 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,204 ms,96 Mbps,12288 kB/s
141.144.199.222,443,2a0b:21c0:100a:1b1:0:9656:b696:7119,DE,Frankfurt,隧道,197 ms,139 Mbps,17817 kB/s
152.70.57.208,443,2606:f240:f00:6acf:0:a81f:2a30:1e21,US,Frankfurt,隧道,146 ms,132 Mbps,16998 kB/s
8.219.131.39,443,47.84.41.244,SG,Singapore,隧道,208 ms,30 Mbps,3955 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,80 ms,17 Mbps,2271 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,163 ms,41 Mbps,5301 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,57 ms,48 Mbps,6161 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,171 ms,130 Mbps,16691 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,39 ms,1240 Mbps,158720 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,340 Mbps,43520 kB/s
8.219.120.213,443,8.222.240.96,SG,Singapore,隧道,218 ms,18 Mbps,2406 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,117 ms,201 Mbps,25804 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,66 ms,51 Mbps,6607 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,167 ms,124 Mbps,15974 kB/s
8.212.48.236,443,47.76.21.95,HK,Hong Kong,隧道,259 ms,73 Mbps,9447 kB/s
