中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,47 Mbps,6039 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,22 ms,737 Mbps,94412 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,503 Mbps,64409 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,47 ms,333 Mbps,42700 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,27 ms,872 Mbps,111616 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,62 ms,369 Mbps,47308 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,49 ms,433 Mbps,55500 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,56 ms,47 Mbps,6061 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,30 ms,609 Mbps,78028 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,48 ms,467 Mbps,59801 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,50 ms,488 Mbps,62566 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,57 ms,418 Mbps,53555 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,67 ms,229 Mbps,29388 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,127 ms,164 Mbps,21094 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,123 ms,198 Mbps,25395 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,127 ms,45 Mbps,5838 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,138 ms,150 Mbps,19251 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,118 ms,43 Mbps,5578 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,142 ms,172 Mbps,22118 kB/s
141.144.198.61,443,2a0b:21c0:100a:1fa:0:32de:46b3:6bde,DE,Frankfurt,隧道,126 ms,186 Mbps,23859 kB/s
143.47.178.5,443,2a0b:21c0:100a:1b0:0:84f2:7d7:ca0f,DE,Frankfurt,隧道,132 ms,89 Mbps,11468 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,524 Mbps,67072 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,126 ms,157 Mbps,20172 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,129 ms,38 Mbps,4868 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,166 ms,105 Mbps,13516 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,125 ms,44 Mbps,5702 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,143 ms,164 Mbps,21094 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,140 ms,42 Mbps,5448 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,140 ms,2 Mbps,280 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,180 ms,39 Mbps,5046 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,191 ms,36 Mbps,4643 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,184 ms,37 Mbps,4779 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,145 ms,40 Mbps,5134 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,203 ms,3 Mbps,423 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,193 ms,2 Mbps,285 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,195 ms,0 Mbps,51 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,204 ms,0 Mbps,34 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,1167 ms,36 Mbps,4682 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,203 ms,0 Mbps,2 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,0 ms,2 Mbps,291 kB/s
