中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,32 ms,904 Mbps,115712 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,44 ms,156 Mbps,19968 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,364 Mbps,46592 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,57 ms,370 Mbps,47411 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,324 Mbps,41574 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,31 ms,1608 Mbps,205824 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,35 ms,1408 Mbps,180224 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,592 Mbps,75878 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,22 ms,840 Mbps,107520 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,348 Mbps,44646 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,15 ms,709 Mbps,90828 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,252 Mbps,32358 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,43 ms,1512 Mbps,193536 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,206 Mbps,26419 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,6 ms,1688 Mbps,216064 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,56 ms,64 Mbps,8196 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,41 ms,508 Mbps,65024 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,8 ms,685 Mbps,87756 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,22 ms,348 Mbps,44544 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,18 ms,406 Mbps,52019 kB/s
47.89.182.61,443,47.251.149.53,US,San Jose,隧道,69 ms,3 Mbps,405 kB/s
152.70.88.98,443,2a09:bac5:4757:1482::20b:31,KR,Seoul,隧道,133 ms,40 Mbps,5150 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,19 ms,1528 Mbps,195584 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,158 ms,95 Mbps,12185 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,69 ms,309 Mbps,39628 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,74 ms,31 Mbps,4005 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,68 ms,72 Mbps,9307 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,133 ms,75 Mbps,9698 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,153 ms,130 Mbps,16691 kB/s
140.238.23.148,443,2a09:bac5:4750:1a14::299:4f,KR,Seoul,隧道,130 ms,44 Mbps,5648 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,145 ms,104 Mbps,13414 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,152 ms,35 Mbps,4590 kB/s
141.148.242.23,443,2a0b:21c0:100a:1b1:0:7154:79e:66fa,DE,Frankfurt,隧道,157 ms,106 Mbps,13619 kB/s
152.70.232.151,443,152.70.232.151,KR,Seoul,中转,133 ms,47 Mbps,6140 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,157 ms,45 Mbps,5840 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,71 ms,1416 Mbps,181248 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,157 ms,35 Mbps,4485 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,21 ms,43 Mbps,5578 kB/s
140.238.212.95,443,140.238.212.95,CH,Milan,中转,167 ms,34 Mbps,4448 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,139 ms,49 Mbps,6304 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,152 ms,41 Mbps,5318 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,130 ms,138 Mbps,17715 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,38 ms,41 Mbps,5325 kB/s
146.56.41.215,443,146.56.41.215,KR,Seoul,中转,134 ms,140 Mbps,17920 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,158 ms,114 Mbps,14643 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,151 ms,105 Mbps,13516 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,74 ms,22 Mbps,2893 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,418 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,131 ms,132 Mbps,16998 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,105 Mbps,13516 kB/s
138.2.15.58,443,138.2.15.58,JP,Tokyo,中转,160 ms,105 Mbps,13516 kB/s
146.56.153.6,443,146.56.153.6,KR,Seoul,中转,249 ms,40 Mbps,5245 kB/s
144.22.252.124,443,144.22.252.124,BR,S
