中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,503 Mbps,64409 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,35 ms,537 Mbps,68812 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,107 ms,277 Mbps,35532 kB/s
129.146.7.98,443,2a09:bac5:60ec:78::c:3a7,US,Los Angeles,隧道,71 ms,63 Mbps,8136 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,71 ms,234 Mbps,30003 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,33 Mbps,4268 kB/s
143.47.253.139,443,2a0b:21c0:1007:cb:0:8f09:fe25:7a5d,DE,Frankfurt,隧道,92 ms,224 Mbps,28672 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,45 Mbps,5852 kB/s
35.197.23.75,443,35.212.134.83,US,Seattle,隧道,76 ms,276 Mbps,35430 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,85 ms,227 Mbps,29081 kB/s
158.178.153.169,443,209.177.81.218,DE,Frankfurt,隧道,91 ms,216 Mbps,27648 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,246 Mbps,31539 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,67 ms,305 Mbps,39116 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,194 Mbps,24883 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,84 ms,379 Mbps,48537 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,11 ms,44 Mbps,5637 kB/s
35.230.79.26,443,35.212.134.83,US,Seattle,隧道,81 ms,356 Mbps,45670 kB/s
152.70.63.131,443,98.98.156.34,DE,Frankfurt,隧道,93 ms,243 Mbps,31129 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,84 ms,254 Mbps,32563 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,108 ms,200 Mbps,25702 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,91 ms,49 Mbps,6323 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,97 ms,320 Mbps,40960 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,34 ms,686 Mbps,87859 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,83 ms,336 Mbps,43008 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,45 Mbps,5792 kB/s
158.101.218.195,443,2a0b:21c0:100a:1b3:0:271c:9712:d1df,DE,Frankfurt,隧道,108 ms,109 Mbps,14028 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,93 ms,47 Mbps,6118 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,97 ms,248 Mbps,31846 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,86 ms,318 Mbps,40755 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,125 ms,100 Mbps,12800 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,97 ms,45 Mbps,5866 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,294 Mbps,37683 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,99 ms,48 Mbps,6223 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,6 ms,95 Mbps,12185 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,103 ms,28 Mbps,3703 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,105 Mbps,13516 kB/s
130.162.231.167,443,2a0b:21c0:100a:1b0:0:27a1:85ae:26f,DE,Frankfurt,隧道,97 ms,128 Mbps,16486 kB/s
168.138.149.17,443,168.138.149.17,BR,S
